Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
c-h-mint-choc-drops-tin-130g-x12ct,C&H Mint Choc Drops Tin 130g x12ct,,DutchRusk,Uncategorized,"",New,true,Pack Size,Outer,,,,,,,,CAHMCD_Outer,0.0,shopify,11,deny,manual,50.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/CAHMCDC_HMintChoc.jpg?v=1774382954,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
cadbury-180g-old-gold-peppermint-x-15ct,Cadbury 180g Old Gold Peppermint Block x 15ct,,DutchRusk,Uncategorized,"","New, Night n Day Misc",true,Pack Size,Block,,,,,,,,4052783_Block,0.0,shopify,45,deny,manual,4.72,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/4052783CadburyOldGoldPeppermint180g.jpg?v=1774382883,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
cadbury-180g-old-gold-peppermint-x-15ct,,,,,,,,,Outer (15 Block),,,,,,,,4052783_Outer,0.0,shopify,3,deny,manual,70.80,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cadbury-180g-old-gold-peppermint-x-15ct,,,,,,,,,Shipper (60 Block),,,,,,,,4052783_Shipper,0.0,shopify,0,deny,manual,283.20,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
trolli-sea-critters-9g-x-60ct,Trolli Sea Critters 9g x 60ct,,DutchRusk,Uncategorized,"",New,true,Pack Size,Outer,,,,,,,,101132632_Outer,0.0,shopify,23,deny,manual,11.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/101132632TrolliSeaCritters.jpg?v=1774382780,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
trolli-sea-critters-9g-x-60ct,,,,,,,,,Shipper (6 Outer),,,,,,,,101132632_Shipper,0.0,shopify,3,deny,manual,71.70,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rexona-spray-women-sport-250ml,Rexona Spray Women Sport 250ml,,DutchRusk,Uncategorized,"",New,true,Pack Size,Each,,,,,,,,C0303_Each,0.0,shopify,235,deny,manual,4.80,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/C0303RexonaWomenSport250ml.jpg?v=1773971573,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
rexona-spray-women-sport-250ml,,,,,,,,,Outer (6 Each),,,,,,,,C0303_Outer,0.0,shopify,39,deny,manual,28.80,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rexona-spray-men-original-250ml,Rexona Spray Men Original 250ml,,DutchRusk,Uncategorized,"",New,true,Pack Size,Each,,,,,,,,R0056_Each,0.0,shopify,229,deny,manual,4.80,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/R0056RexonaMen250ml.webp?v=1773959816,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
rexona-spray-men-original-250ml,,,,,,,,,Outer (6 Each),,,,,,,,R0056_Outer,0.0,shopify,38,deny,manual,28.80,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lolliland-dinosaus-25g-x-10ct,Lolliland Dinosaurs 25g x 10ct,,DutchRusk,Uncategorized,"",New,true,Pack Size,Bag,,,,,,,,L0196_Bag,0.0,shopify,57,deny,manual,4.85,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/L0196Dinosaurs.jpg?v=1773959795,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
lolliland-dinosaus-25g-x-10ct,,,,,,,,,Shipper (12 Bag),,,,,,,,L0196_Shipper,0.0,shopify,4,deny,manual,58.20,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
